date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,demand_source,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment,is_order_day,optimal_replenishment_pallet,optimal_replenishment_box,arrival_qty_box,ending_inventory_box,stockout_qty_box,holding_cost,stockout_cost,unit_transport_cost,target_replenishment_pallet,target_replenishment_box
2019-01-25,DC001,SKU002,6.0,6.0,12.571428571428571,5.2,16.799603169916445,88.0,156.0,62.16,74.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-25,DC001,SKU005,5.0,5.0,17.571428571428573,13.733333333333333,26.724437422620436,123.0,412.0,82.10000000000001,108.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,144.0,1,4,144.0,108.0,114.0,0.0,3.36,336.0,224.0,4.0,144.0
2019-01-28,DC001,SKU001,1.0,1.0,3.7142857142857144,1.3333333333333333,3.7535168694024654,26.0,40.0,3.0,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-28,DC001,SKU002,3.0,3.0,14.0,5.433333333333334,16.816030711463657,98.0,163.0,34.29,74.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-28,DC001,SKU005,5.0,5.0,18.285714285714285,11.5,24.465962751000284,128.0,345.0,81.25,128.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,6.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-01,DC001,SKU001,5.0,5.0,0.0,1.0333333333333334,3.4783457115256518,0.0,31.0,1.55,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-01,DC001,SKU002,4.0,4.0,12.0,7.233333333333333,18.863869050530315,84.0,217.0,42.279999999999994,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,4.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-01,DC001,SKU005,6.0,6.0,33.0,18.866666666666667,35.02830601416834,231.0,566.0,172.56,10.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,32.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-04,DC001,SKU001,3.0,3.0,0.0,0.8666666666666667,3.4032664048267263,0.0,26.0,0.78,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-04,DC001,SKU002,3.0,3.0,10.571428571428571,6.066666666666666,18.18045348413754,74.0,182.0,27.659999999999997,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,4.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-04,DC001,SKU005,4.0,4.0,33.714285714285715,16.6,34.76645893194569,236.0,498.0,114.32,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,22.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-08,DC001,SKU001,3.0,3.0,0.0,0.8666666666666667,3.4032664048267263,0.0,26.0,0.78,4.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-08,DC001,SKU002,2.0,2.0,0.0,6.066666666666666,18.18045348413754,0.0,182.0,3.6399999999999997,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,1.0,0.0,3.36,336.0,224.0,1.0,52.0
2019-02-08,DC001,SKU005,3.0,3.0,1.4285714285714286,16.433333333333334,34.833588515811705,10.0,493.0,17.79,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,22.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-11,DC001,SKU001,1.0,1.0,0.0,0.8666666666666667,3.4032664048267267,0.0,26.0,0.26,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,74.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-11,DC001,SKU002,2.0,2.0,0.42857142857142855,5.833333333333333,18.17339325008464,3.0,175.0,4.1,20.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,48.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-11,DC001,SKU005,3.0,3.0,0.0,12.466666666666667,34.20500288294423,0.0,374.0,11.219999999999999,10.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,72.0,1,2,72.0,0.0,22.0,0.0,3.36,336.0,224.0,2.0,72.0
2019-02-15,DC001,SKU001,1.0,1.0,0.7142857142857143,1.0333333333333334,3.439799735772743,5.0,31.0,0.81,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,73.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-15,DC001,SKU002,1.0,1.0,4.0,6.666666666666667,18.09296978264088,28.0,200.0,4.8,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,28.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-15,DC001,SKU005,6.0,6.0,1.4285714285714286,12.466666666666667,34.205002882944235,10.0,374.0,28.44,49.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,48.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-18,DC001,SKU001,4.0,4.0,0.7142857142857143,1.0333333333333334,3.439799735772743,5.0,31.0,3.24,9.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,73.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-18,DC001,SKU002,4.0,4.0,3.5714285714285716,6.666666666666667,18.09296978264088,25.0,200.0,18.0,19.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,23.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-18,DC001,SKU005,4.0,4.0,6.571428571428571,13.666666666666666,34.3776413126646,46.0,410.0,34.8,114.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,72.0,1,2,72.0,0.0,41.0,0.0,3.36,336.0,224.0,2.0,72.0
2019-02-22,DC001,SKU001,1.0,1.0,1.2857142857142858,0.7666666666666667,2.319243171573193,9.0,23.0,1.1300000000000001,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,64.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-22,DC001,SKU002,7.0,7.0,3.4285714285714284,4.533333333333333,10.294766739573175,24.0,136.0,26.32,4.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,4.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-22,DC001,SKU005,4.0,4.0,12.142857142857142,11.2,28.7093480710842,85.0,336.0,47.43999999999999,41.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,72.0,1,2,72.0,72.0,0.0,-0.0,3.36,336.0,224.0,2.0,72.0
2019-02-25,DC001,SKU001,3.0,3.0,1.2857142857142858,0.4666666666666667,1.746106780494506,9.0,14.0,3.12,4.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,64.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-25,DC001,SKU002,3.0,3.0,3.4285714285714284,4.2,10.274239631233053,24.0,126.0,10.98,4.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,4.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-25,DC001,SKU005,2.0,2.0,17.285714285714285,13.433333333333334,30.678638967348082,121.0,403.0,32.26,41.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-01,DC001,SKU001,2.0,2.0,0.5714285714285714,0.6,1.8547236990991407,4.0,18.0,1.16,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,60.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-01,DC001,SKU002,2.0,2.0,0.5714285714285714,2.6666666666666665,5.769652406245013,4.0,80.0,2.4,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,0.0,-0.0,3.36,336.0,224.0,1.0,52.0
2019-03-01,DC001,SKU005,3.0,3.0,16.142857142857142,11.2,25.75707022676816,113.0,336.0,43.98,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,31.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-04,DC001,SKU001,1.0,1.0,0.5714285714285714,0.6,1.8547236990991407,4.0,18.0,0.58,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,47.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-04,DC001,SKU002,3.0,3.0,0.5714285714285714,1.8666666666666667,4.208985098043892,4.0,56.0,2.88,68.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,47.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-04,DC001,SKU005,2.0,2.0,5.857142857142857,7.266666666666667,16.49026648932299,41.0,218.0,12.559999999999999,108.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,108.0,1,3,108.0,0.0,31.0,0.0,3.36,336.0,224.0,3.0,108.0
2019-03-08,DC001,SKU001,1.0,1.0,2.4285714285714284,1.1666666666666667,2.9335227211589068,17.0,35.0,2.05,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,43.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-08,DC001,SKU002,3.0,3.0,10.428571428571429,4.3,10.62434311694924,73.0,129.0,25.77,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-08,DC001,SKU005,2.0,2.0,15.428571428571429,10.533333333333333,24.479560635127605,108.0,316.0,27.919999999999998,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,36.0,1,1,36.0,0.0,31.0,0.0,3.36,336.0,224.0,1.0,36.0
2019-03-11,DC001,SKU001,4.0,4.0,2.4285714285714284,1.1666666666666667,2.9335227211589068,17.0,35.0,8.2,4.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,40.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-11,DC001,SKU002,1.0,1.0,10.428571428571429,4.2,10.65019561635685,73.0,126.0,8.56,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-11,DC001,SKU005,3.0,3.0,15.428571428571429,10.533333333333333,24.4795606351276,108.0,316.0,41.879999999999995,49.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,144.0,1,4,144.0,0.0,67.0,0.0,3.36,336.0,224.0,4.0,144.0
2019-03-15,DC001,SKU001,6.0,6.0,1.0,1.2666666666666666,2.9431653406192155,7.0,38.0,6.479999999999999,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-15,DC001,SKU002,3.0,3.0,0.0,3.7,10.640018796975877,0.0,111.0,3.33,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-15,DC001,SKU005,5.0,5.0,7.0,11.833333333333334,24.812743141825774,49.0,355.0,42.25,114.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,90.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-18,DC001,SKU001,4.0,4.0,1.0,1.2333333333333334,2.951647374301717,7.0,37.0,4.279999999999999,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-18,DC001,SKU002,6.0,6.0,0.0,3.3666666666666667,10.593971031781345,0.0,101.0,6.0600000000000005,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-18,DC001,SKU005,1.0,1.0,17.285714285714285,13.033333333333333,26.74756479050424,121.0,391.0,16.009999999999998,42.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,36.0,1,1,36.0,0.0,18.0,0.0,3.36,336.0,224.0,1.0,36.0
2019-03-22,DC001,SKU001,3.0,3.0,0.0,1.2333333333333334,2.951647374301717,0.0,37.0,1.1099999999999999,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-22,DC001,SKU002,2.0,2.0,0.0,3.2,10.606287443461696,0.0,96.0,1.92,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-22,DC001,SKU005,1.0,1.0,26.571428571428573,15.4,28.894751541874637,186.0,462.0,23.220000000000002,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,252.0,1,7,252.0,0.0,12.0,0.0,3.36,336.0,224.0,7.0,252.0
2019-03-25,DC001,SKU001,1.0,1.0,0.0,0.9333333333333333,2.5811280910141243,0.0,28.0,0.27999999999999997,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-25,DC001,SKU002,2.0,2.0,0.0,2.566666666666667,10.203539690824073,0.0,77.0,1.54,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-25,DC001,SKU005,5.0,5.0,16.285714285714285,12.8,27.09661725504988,114.0,384.0,76.19999999999999,263.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,264.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-29,DC001,SKU001,2.0,2.0,0.0,0.8,2.5219040425836963,0.0,24.0,0.48,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-03-29,DC001,SKU002,4.0,4.0,0.0,2.566666666666667,10.203539690824073,0.0,77.0,3.08,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-03-29,DC001,SKU005,2.0,2.0,11.857142857142858,14.2,29.49621444637712,83.0,426.0,25.12,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,1.0,0.0,3.36,336.0,224.0,0.0,0.0
